Symbol,"Pauling valence, 
v","Metallic 
valence",Zeff,"1st Bohr
radius (a0)","Ionization
energy (eV)","Electron 
affinity (ev)","Pearson
absolute (eV)","Ghosh
Gupta (eV)","Pauling 
EN","Martynov 
Batsanov EN","Mulliken
EN","Allred
EN","Allred
Rockow EN","Nagle
EN","Putz
Russo
Sicillia
EN","Gordy
EN","Ghosh
EN"
H,0.0,0.0,1.0,0.529,13.598,0.757,7.18,7.186,2.2,2.1,7.18,2.2,2.3,2.27,0.0,2.13,8.22
He,0.0,0.0,1.344,0.394,24.587,-0.518,0.0,12.057,0.0,0.0,0.0,0.0,4.16,3.92,0.0,0.0,40.4
Li,1.0,1.0,1.259,1.681,5.392,0.622,3.01,2.444,0.98,0.9,3.01,0.98,0.912,0.94,3.02,0.95,1.13
Be,2.0,2.0,1.656,1.278,9.323,-0.519,4.9,3.706,1.57,1.45,4.9,1.57,1.576,1.55,3.4,1.45,3.81
B,3.0,3.0,1.561,1.355,8.298,0.28,4.29,4.969,2.04,1.9,4.29,2.04,2.051,2.02,5.66,1.9,9.04
C,4.0,4.0,1.819,1.163,11.26,1.265,6.27,6.234,2.55,2.37,6.27,2.55,2.544,2.55,8.58,2.55,17.6
N,3.0,3.0,2.068,1.023,14.534,-0.001,7.3,7.496,3.04,2.85,7.3,3.04,3.066,3.12,9.77,2.98,30.5
O,2.0,0.0,2.001,1.058,13.618,1.461,7.54,8.786,3.44,3.32,7.54,3.44,3.61,3.62,12.41,3.45,48.4
F,1.0,0.0,2.263,0.835,17.423,3.4,10.41,10.038,3.98,3.78,10.41,3.98,4.193,4.23,15.6,3.95,72.3
Ne,0.0,0.0,2.518,0.84,21.565,-1.244,0.0,11.3,0.0,0.0,0.0,0.0,4.789,4.89,13.37,0.0,98.0
Na,1.0,1.0,1.842,2.584,5.139,0.549,2.85,2.438,0.93,0.89,2.85,0.93,0.869,0.95,2.64,0.9,1.08
Mg,2.0,2.0,2.248,0.674,7.646,-0.414,3.75,3.611,1.31,1.31,3.75,1.31,1.293,1.32,3.93,1.2,2.35
Al,3.0,3.0,1.989,0.761,5.986,0.435,3.23,4.639,1.61,1.64,3.23,1.61,1.613,1.55,5.89,1.5,4.35
Si,4.0,4.0,2.321,0.652,8.152,1.388,4.77,5.524,1.9,1.98,4.77,1.9,1.916,1.87,6.8,1.8,7.26
P,3.0,3.0,3.412,5.752,10.487,0.746,5.62,6.341,2.19,2.32,5.62,2.19,2.253,2.22,8.33,2.1,11.2
S,2.0,2.0,2.617,5.787,10.36,2.072,6.22,6.838,2.58,2.65,6.22,2.58,2.589,2.49,11.88,2.53,16.4
Cl,1.0,0.0,2.928,0.517,12.968,3.618,8.3,7.292,3.16,2.98,8.3,3.16,2.869,2.82,14.06,2.97,23.0
Ar,0.0,0.0,3.228,0.469,15.76,-0.995,0.0,7.652,0.0,0.0,0.0,0.0,3.242,3.18,12.55,0.0,31.2
K,1.0,1.0,1.694,0.894,4.341,0.497,2.42,2.003,0.82,0.8,2.42,0.82,0.734,0.84,2.48,0.8,0.467
Ca,2.0,2.0,2.68,1.004,6.113,0.021,2.2,2.697,1.0,1.17,2.2,1.0,1.034,1.11,2.19,1.0,1.02
Sc,3.0,3.0,2.777,0.969,6.562,0.187,3.34,2.857,1.36,1.5,3.34,1.36,1.19,1.17,1.83,1.3,1.18
Ti,4.0,4.0,2.833,0.95,6.828,0.083,3.45,3.004,1.54,1.86,3.45,1.54,1.38,1.23,2.28,1.6,1.37
V,5.0,5.0,2.816,0.956,6.746,0.529,3.6,3.148,1.63,2.22,3.6,1.63,1.53,1.27,2.42,1.9,1.58
Cr,2.9,5.78,2.82,0.955,6.767,0.674,3.72,3.295,1.66,2.0,3.72,1.66,1.65,1.29,2.72,2.2,1.8
Mn,4.16,5.78,2.956,0.911,7.434,-0.518,3.72,3.435,1.55,2.04,3.72,1.55,1.75,1.36,2.01,2.6,2.05
Fe,5.78,5.78,3.048,2.777,7.902,0.156,4.06,3.584,1.83,1.67,4.06,1.83,1.8,1.4,3.9,2.76,2.31
Co,5.78,5.78,3.046,0.885,7.881,0.664,4.3,3.731,1.88,1.72,4.3,1.88,1.84,1.44,3.03,3.13,2.6
Ni,5.78,5.78,2.996,0.898,7.64,1.161,4.4,3.858,1.91,1.76,4.4,1.91,1.88,1.47,3.48,3.33,2.92
Cu,5.44,5.44,3.013,0.893,7.726,1.234,4.48,4.003,1.9,1.08,4.48,1.9,1.85,1.51,2.91,2.2,3.25
Zn,4.44,4.44,3.322,0.81,9.394,-0.622,4.45,4.133,1.65,1.44,4.45,1.65,1.59,1.46,3.13,1.2,3.61
Ga,3.44,3.44,2.655,1.014,5.999,0.425,3.2,4.664,1.81,1.7,3.2,1.81,1.756,1.56,3.3,1.4,5.49
Ge,4.0,4.0,3.046,0.884,7.899,1.234,4.6,5.132,2.01,1.99,4.6,2.01,1.994,1.81,4.24,1.7,7.92
As,3.0,3.0,3.396,0.884,9.789,0.806,5.3,5.537,2.18,2.27,5.3,2.18,2.211,2.11,4.94,2.0,11.1
Se,2.0,2.0,3.385,0.795,9.752,2.021,5.89,5.875,2.55,2.54,5.89,2.55,2.434,2.31,4.82,2.4,14.7
Br,1.0,0.0,3.726,0.723,11.814,3.368,7.59,6.166,2.96,2.83,7.59,2.96,2.685,2.56,7.35,2.75,19.3
Kr,0.0,0.0,4.056,0.664,14.0,-0.622,0.0,6.392,3.0,0.0,0.0,0.0,2.966,2.82,9.59,0.0,24.6
Rb,1.0,1.0,2.769,1.519,4.177,0.487,2.34,2.014,0.82,0.8,2.34,0.82,0.706,0.83,1.05,0.78,0.342
Sr,2.0,2.0,3.234,1.301,5.695,0.052,2.0,2.585,0.95,1.13,2.0,0.95,0.963,1.06,1.63,1.0,0.744
Y,3.0,3.0,3.379,1.245,6.217,0.311,3.19,2.724,1.22,1.41,3.19,1.22,1.12,1.11,1.76,1.3,0.868
Zr,4.0,4.0,3.401,1.205,6.634,0.425,3.64,2.849,1.33,1.7,3.64,1.33,1.32,1.17,1.73,1.6,1.0
Nb,5.0,5.0,3.523,1.195,6.759,0.923,4.0,2.974,1.6,2.03,4.0,1.83,1.41,1.21,1.68,1.8,1.15
Mo,5.78,5.78,3.609,1.166,7.092,0.747,3.9,3.099,2.16,1.94,3.9,2.16,1.47,1.26,2.07,2.1,1.32
Tc,5.78,5.78,3.655,1.151,7.28,0.55,4.4,3.224,1.9,2.18,4.0,2.12,1.51,1.3,1.96,2.27,1.5
Ru,5.78,5.78,3.676,1.144,7.361,1.047,4.5,3.336,2.2,1.97,4.5,2.15,1.54,1.35,1.93,2.0,1.69
Rh,5.78,5.78,3.701,1.137,7.459,1.14,4.3,3.461,2.28,1.99,4.3,2.28,1.56,1.39,1.72,2.26,1.9
